created_at;amount
2023-04;66214.09
2023-03;371801.97
2023-02;347782.68
2023-01;487613.13
2022-12;201507.98
2022-11;135093.44
2022-10;185527.54
2022-09;191423.78
2022-08;217173.83
2022-07;195314.57
2022-06;166498.41
2022-05;221843.83
2022-04;187349.29
2022-03;134330.96
2022-02;176335.02
2022-01;144973.73
2021-12;64222.06
2021-11;59998.71
2021-10;43274.44
2021-09;63865.8
2021-08;69896.91
2021-07;52836.68
2021-06;53721.56
2021-05;36124.59
2021-04;33900.49
2021-03;51196.05
2021-02;48177.4
2021-01;58019.25
2020-12;33577.55
2020-11;24982.66
2020-10;26395.68
2020-09;32495.85
2020-08;46808.81
2020-07;36113.08
2020-06;18366.73
2020-05;15093.74
2020-04;13137.47
2020-03;34911.93
2020-02;21370.45
2020-01;18304.489999999998
2019-12;41305.64
2019-11;34589.34
2019-10;43200.81
2019-09;34466.42
2019-08;21603.27
2019-07;30094.48
2019-06;6549.950000000001
2019-05;19253.07
2019-04;24521.39
2019-03;20693.25
2019-02;4739.89
2019-01;20332.04
2018-12;9433.06
2018-11;9877.279999999999
2018-10;2433.87
2018-09;10687.36
2018-08;10478.72
2018-07;10217.75
2018-06;15281.880000000001
2018-05;33562.950000000004
